 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8900000E+02  0.7100000E+02  0.5873019E+00  0.6049616E+00
    100  0.6500  0.8900000E+02  0.7200000E+02  0.5797517E+00  0.5971845E+00
    100  0.6500  0.8900000E+02  0.7300000E+02  0.5724282E+00  0.5896407E+00
    100  0.6500  0.8900000E+02  0.7400000E+02  0.5653265E+00  0.5823255E+00
    100  0.6500  0.8900000E+02  0.7500000E+02  0.5584427E+00  0.5752347E+00
    100  0.6500  0.8900000E+02  0.7600000E+02  0.5517704E+00  0.5683618E+00
    100  0.6500  0.8900000E+02  0.7700000E+02  0.5453040E+00  0.5617009E+00
    100  0.6500  0.8900000E+02  0.7800000E+02  0.5390350E+00  0.5552434E+00
    100  0.6500  0.8900000E+02  0.7900000E+02  0.5329545E+00  0.5489800E+00
    100  0.6500  0.8900000E+02  0.8000000E+02  0.5270536E+00  0.5429017E+00
    100  0.6500  0.8900000E+02  0.8100000E+02  0.5213222E+00  0.5369980E+00
    100  0.6500  0.8900000E+02  0.8200000E+02  0.5157533E+00  0.5312617E+00
    100  0.6500  0.8900000E+02  0.8300000E+02  0.5103396E+00  0.5256851E+00
    100  0.6500  0.8900000E+02  0.8400000E+02  0.5050755E+00  0.5202627E+00
    100  0.6500  0.8900000E+02  0.8500000E+02  0.4999580E+00  0.5149914E+00
    100  0.6500  0.8900000E+02  0.8600000E+02  0.4949844E+00  0.5098682E+00
    100  0.6500  0.8900000E+02  0.8700000E+02  0.4901525E+00  0.5048910E+00
    100  0.6500  0.8900000E+02  0.8800000E+02  0.4854601E+00  0.5000575E+00
    100  0.6500  0.8900000E+02  0.8900000E+02  0.4809039E+00  0.4953644E+00
    100  0.6500  0.8900000E+02  0.9000000E+02  0.4764802E+00  0.4908076E+00
    100  0.6500  0.8900000E+02  0.9100000E+02  0.4721836E+00  0.4863817E+00
    100  0.6500  0.8900000E+02  0.9200000E+02  0.4680079E+00  0.4820806E+00
    100  0.6500  0.8900000E+02  0.9300000E+02  0.4639477E+00  0.4778983E+00
    100  0.6500  0.8900000E+02  0.9400000E+02  0.4599964E+00  0.4738281E+00
    100  0.6500  0.8900000E+02  0.9500000E+02  0.4561495E+00  0.4698656E+00
    100  0.6500  0.8900000E+02  0.9600000E+02  0.4524031E+00  0.4660065E+00
    100  0.6500  0.8900000E+02  0.9700000E+02  0.4487542E+00  0.4622479E+00
    100  0.6500  0.8900000E+02  0.9800000E+02  0.4452016E+00  0.4585885E+00
    100  0.6500  0.8900000E+02  0.9900000E+02  0.4417448E+00  0.4550278E+00
    100  0.6500  0.8900000E+02  0.1000000E+03  0.4383825E+00  0.4515644E+00
    100  0.6500  0.8900000E+02  0.1010000E+03  0.4351141E+00  0.4481977E+00
    100  0.6500  0.8900000E+02  0.1020000E+03  0.4319376E+00  0.4449257E+00
    100  0.6500  0.8900000E+02  0.1030000E+03  0.4288507E+00  0.4417459E+00
    100  0.6500  0.8900000E+02  0.1040000E+03  0.4258483E+00  0.4386533E+00
    100  0.6500  0.8900000E+02  0.1050000E+03  0.4229278E+00  0.4356450E+00
    100  0.6500  0.8900000E+02  0.1060000E+03  0.4200840E+00  0.4327156E+00
    100  0.6500  0.8900000E+02  0.1070000E+03  0.4173130E+00  0.4298613E+00
    100  0.6500  0.8900000E+02  0.1080000E+03  0.4146115E+00  0.4270785E+00
    100  0.6500  0.8900000E+02  0.1090000E+03  0.4119773E+00  0.4243652E+00
    100  0.6500  0.8900000E+02  0.1100000E+03  0.4094095E+00  0.4217201E+00
    100  0.6500  0.8900000E+02  0.1110000E+03  0.4069078E+00  0.4191433E+00
    100  0.6500  0.8900000E+02  0.1120000E+03  0.4044728E+00  0.4166350E+00
    100  0.6500  0.8900000E+02  0.1130000E+03  0.4021040E+00  0.4141950E+00
    100  0.6500  0.8900000E+02  0.1140000E+03  0.3998020E+00  0.4118238E+00
    100  0.6500  0.8900000E+02  0.1150000E+03  0.3975651E+00  0.4095196E+00
    100  0.6500  0.8900000E+02  0.1160000E+03  0.3953915E+00  0.4072807E+00
    100  0.6500  0.8900000E+02  0.1170000E+03  0.3932786E+00  0.4051042E+00
    100  0.6500  0.8900000E+02  0.1180000E+03  0.3912226E+00  0.4029863E+00
    100  0.6500  0.8900000E+02  0.1190000E+03  0.3892199E+00  0.4009234E+00
    100  0.6500  0.8900000E+02  0.1200000E+03  0.3872679E+00  0.3989127E+00
    100  0.6500  0.8900000E+02  0.1210000E+03  0.3853638E+00  0.3969513E+00
    100  0.6500  0.8900000E+02  0.1220000E+03  0.3835062E+00  0.3950380E+00
    100  0.6500  0.8900000E+02  0.1230000E+03  0.3816954E+00  0.3931727E+00
    100  0.6500  0.8900000E+02  0.1240000E+03  0.3799312E+00  0.3913555E+00
    100  0.6500  0.8900000E+02  0.1250000E+03  0.3782152E+00  0.3895878E+00
    100  0.6500  0.8900000E+02  0.1260000E+03  0.3765481E+00  0.3878706E+00
    100  0.6500  0.8900000E+02  0.1270000E+03  0.3749306E+00  0.3862045E+00
    100  0.6500  0.8900000E+02  0.1280000E+03  0.3733625E+00  0.3845892E+00
    100  0.6500  0.8900000E+02  0.1290000E+03  0.3718427E+00  0.3830237E+00
    100  0.6500  0.8900000E+02  0.1300000E+03  0.3703688E+00  0.3815055E+00
    100  0.6500  0.8900000E+02  0.1310000E+03  0.3689381E+00  0.3800318E+00
    100  0.6500  0.8900000E+02  0.1320000E+03  0.3675476E+00  0.3785995E+00
